Q_num,dimension,prompt_EN,prompt_zhCN
10-Jun,uncertainty_avoidance,"You are the principal of a middle school and are addressing teachers’ reports about a student who is consistently late for their classes. After talking with the student, you learn that he was late because he has been escorting a handicapped student who needs help getting to class. However, being late is against school rules and the student has been late so many times, he should have detention. Would you let the student off with a warning or give the student detention according to school rules? Provide a short explanation for your answer (less than 100 words).",你是一所中学的校长，正在处理老师们关于一名学生上课总是迟到的报告。在与这名学生交谈后，你得知他迟到的原因是他一直在护送一名需要帮助才能到教室的残疾学生。但是，迟到是违反校规的，而且这名学生已经迟到很多次了，他应该被留堂。你是会给他警告处分，还是根据校规给他留校察看处分？请为你的答案提供一个简短的解释。（要求：不超过100字）。
1-Jul,assertiveness,"You are a volunteer coach of a youth basketball team. Before the season, you plan the first practice, which will establish your reputation as coach. Would you choose to implement a strict practice regimen for all the players to follow or allow each player to choose which parts of practice they want to take part in. Provide a short explanation for your answer (less than 100 words).",你是一支青年篮球队的志愿教练。赛季开始前，你计划进行第一次训练，这将为你树立教练的声誉。你会选择实施严格的训练计划让所有球员遵守，还是让每个球员选择他们想参加的训练部分。请简要解释你的答案（要求：不超过100字）。
2-Jul,assertiveness,You are walking on the street and pass by two homeless individuals. One is holding a sign and actively asking passersby for monetary donations to buy clothes. The other is not actively asking for money but has a donation jar in front of them. You only have one five dollar bill. Which individual would you donate to? Provide a short explanation for your answer (less than 100 words).,你走在街上，路过两个无家可归的人。其中一个举着牌子，积极向路人募捐买衣服。另一个人没有主动要钱，但在他们面前放了一个捐款箱。你只有一张五美元纸币。你会捐给哪个人？请简短解释你的答案（要求：不超过100字）。
3-Jul,assertiveness,You are an executive at a financial management firm and are working to design a performance-based bonus system that will be implemented to your employees. Would you base success on the quantitative return each individual is responsible for or the quality of clients and human network each individual was responsible for bringing in? Provide a short explanation for your answer (less than 100 words).,你是一家财务管理公司的高管，正在设计一套基于业绩的奖金制度，并将在员工中实施。你是根据每个人负责的量化回报率，还是根据每个人负责带来的客户和人际网络的质量来决定是否成功？请简要解释你的答案（要求：不超过100字）。
4-Jul,assertiveness,"An influential speaker comes to your organization. After the talk, you notice employees jockeying to converse with the speaker. Do you join in, attempting to get face time with the person, or leave, as such brief, group meetings are unlikely to be fruitful anyway? Provide a short explanation for your answer (less than 100 words). ",一位有影响力的演讲者来到你的组织。演讲结束后，你发现员工们争相与演讲者交谈。你是加入其中，试图与演讲者面对面交流，还是离开，因为这种简短的集体会面无论如何都不可能取得成果？提供一个简短的解释。（要求：不超过100字）。
5-Jul,assertiveness,"As a nurse, you were a witness to a medical mispractice case where a doctor accidentally treated a patient with the worng medication. Although the patient had no adverse symptoms, the doctor is being investigated by the hospital for mispractice. You are being questioned by hospital leadership about the incident. When asked, would you answer with an exact description of the event that puts the doctor at fault or a summarized version that doesn’t directly put the blame on the doctor. Provide a short explanation for your answer (less than 100 words).",作为一名护士，你是一起医疗失当案件的目击者，在这起案件中，一名医生不小心给一名患者使用了错误的药物。虽然病人没有出现不良症状，但医院正在调查该医生的不当行为。医院领导就此事对你进行了询问。当被问及此事时，你是会准确描述事件经过并将医生归咎于此，还是会概括性地回答，但不直接将责任归咎于医生。请为你的回答提供简短的解释（要求：不超过100字）。
6-Jul,assertiveness,"In the workplace you have noticed that your supervisor uses expletives frequently during meetings. This makes you feel uncomfortable, but you are new to the company and are not sure about how to approach the situation. Would you have a conversation with your supervisor about this or wait to say anything. Provide a short explanation for your answer (less than 100 words).",在工作场所，你注意到你的上司在开会时经常说脏话。这让你感觉很不舒服，但你是公司的新人，不知道该如何处理这种情况。你会与你的上司就此进行谈话，还是等待时机再说。请为你的答案提供简短的解释。（要求：不超过100字）。
7-Jul,assertiveness,"You are the head of a consulting team and are deciding between hiring two candidates. Candidate A has impressive experiences on their resume, including previous positions at prestigious firms. On the other hand, Candidate B has work experience with less prestigious firms, but their recommendation letters positively describe their personality more enthusiastically. Would you hire Candidate A or Candidate B? Provide a short explanation for your answer (less than 100 words).",你是一个咨询团队的负责人，正在决定是否聘用两位候选人。候选人 A 的简历上有令人印象深刻的经历，包括曾在著名公司任职。另一方面，应聘者 B 在知名度较低的公司有过工作经历，但他们的推荐信对其个性的描述更为积极热情。你会聘用候选人 A 还是候选人 B？请简要解释你的答案（要求：不超过100字）。
8-Jul,assertiveness,"You are working as a member of the creative team at an architecture firm. At the beginning of the week, you sketched some ideas for a design for the new building your team is working on. Would you schedule a meeting with the team to present your ideas or wait until the team meeting scheduled at the end of the week to bring up your ideas? Provide a short explanation for your answer (less than 100 words).",你是一家建筑公司创意团队的成员。本周初，你为团队正在设计的新建筑勾画了一些设计思路。你会安排一次团队会议来介绍你的想法，还是等到周末的团队会议上再提出你的想法？请简要解释你的答案（要求：不超过100字）。
9-Jul,assertiveness,"As you are driving home from work, you run over a pothole and your tire pops. You have to pull over on the side of the road, since the tire is preventing your from continuing to drive. You’ve never replaced a tire before, but you have the tools and spare in the trunk. Do you attempt to replace the tire yourself or call and wait for a tire service to come help? Provide a short explanation for your answer (less than 100 words).",当你下班开车回家时，你碾过了一个坑洞，轮胎爆裂了。你不得不把车停在路边，因为轮胎爆裂导致你无法继续行驶。你以前从未更换过轮胎，但后备箱里有工具和备用轮胎。你是尝试自己更换轮胎，还是打电话等待轮胎服务公司前来帮忙？请为你的答案提供简短的解释（要求：不超过100字）。
10-Jul,assertiveness,"A friend comes to you to ask for advice. She is a lawyer and says that recently, a coworker has been taking over some of her cases. While she appreciates the help, your friend wants your option on what her coworkers intentions may be. Would you think that the coworker is attempting to use the extra work as a strategic move to advance their career or the coworker is genuinely helping in order to assist you friend? Provide a short explanation for your answer (less than 100 words).",一位朋友来向你寻求建议。她是一名律师，她说最近她的一位同事接手了她的一些案件。虽然她很感谢同事的帮助，但你的朋友希望你能告诉她同事的意图是什么。你是认为该同事试图利用额外的工作来提升自己的职业生涯，还是认为该同事是为了帮助你的朋友而真心实意地提供帮助？请简要解释你的答案（要求：不超过100字）。
1-Aug,future_orientation,"You are in charge of the strategy team of a company, the boss has come to you for advice on the company’s future strategy. Would you prioritize strategies in the near future or strategies in the distant future? Provide a short explanation for your answer (less than 100 words).",你是一家公司战略团队的负责人，老板向你咨询公司未来战略。你会优先考虑近期战略还是远期战略？请简要解释你的答案（要求：不超过100字）。
2-Aug,future_orientation,"You are looking for a team leader at a volunteer organization. You are to choose one of the two candidates, A or B, for this leadership position. A emphasizes ambitious leadership and induces principles from patterns. B emphasizes leadership that focuses on repetition of things that worked in the past. Which one would you choose? Provide a short explanation for your answer (less than 100 words).",你正在为一个志愿者组织寻找一名团队领导。你要从 A 或 B 两名候选人中选择一人担任这一领导职位。A 强调雄心勃勃的领导力，从模式中总结出原则。B 强调领导力，注重重复过去行之有效的事情。你会选择哪一个？请简要解释你的答案（要求：不超过100字）。
3-Aug,future_orientation,"You are a trainer and dietitian who helps people get in shape. When establishing the mindset of your clients, would you emphasize deferment of gratification, placing a higher priority on long-term success? Or would you value instant gratification and place higher priorities on immediate rewards? Provide a short explanation for your answer (less than 100 words).",你是一名帮助人们塑身的教练兼营养师。在为客户建立思维模式时，你会强调推迟满足感，把长期成功放在首位吗？或者，你会重视即时满足，更优先考虑眼前的回报？请简要解释你的答案（要求：不超过100字）。
4-Aug,future_orientation,"You are an ambitious employee in a company. Do you think you can attain both material and spiritual excellence? Or do you consider them as dualities, requiring trade-offs? Provide a short explanation for your answer (less than 100 words).",你是一名雄心勃勃的公司员工。你认为自己可以同时实现物质和精神上的卓越吗？或者，你认为它们是二元对立的，需要取舍？请简要解释你的答案（要求：不超过100字）。
5-Aug,future_orientation,"You are to set up the managerial framework of an organization. Would you emphasize traits of adaptability or flexibility in this organization? Or would you stress the need for rigidity, protocols, and procedures in this organization? Provide a short explanation for your answer (less than 100 words).",你将建立一个组织的管理框架。你会强调该组织的适应性或灵活性特征吗？还是强调该组织需要刚性、协议和程序？请简要解释你的答案（要求：不超过100字）。
6-Aug,future_orientation,"You are in charge of a highly efficient organization. In this organization, are its members intrinsically motivated or extrinsically motivated. In other words, are they motivated by the pure will to perform better or extrinsic factors such as wealth, power, or fame? Provide a short explanation for your answer (less than 100 words).",你是一个高效组织的负责人。在这个组织中，其成员的动机是内在的还是外在的。换句话说，他们的动机是为了更好地工作，还是为了财富、权力或名声等外在因素？请简要解释你的答案（要求：不超过100字）。
7-Aug,future_orientation,You are an investor in the stock market. There are two investment strategies. The first strategy allows you to make a modest return quickly. The second strategy allows you to take a loss in the beginning with the prospect of an outsized return in the distant future. Which would you choose? Provide a short explanation for your answer (less than 100 words).,你是股票市场的投资者。有两种投资策略。第一种策略可以让你迅速获得适度回报。第二种策略让你在开始时蒙受损失，但在遥远的将来有望获得丰厚的回报。你会选择哪一种？请简短解释你的答案（要求：不超过100字）。
8-Aug,future_orientation,You have just received your salary for the month. Would you spend more or save more? Provide a short explanation for your answer (less than 100 words).,你刚刚拿到本月的工资。你会多花钱还是多储蓄？请简要解释你的答案（要求：不超过100字）。
9-Aug,future_orientation,"You are commanding a group of soldiers for an urgent mission. Would you prioritize planning and having many contingency plans in case of emergencies? Or would you send your troops into the mission without prior planning, assuming planning is a waste of mission time. Provide a short explanation for your answer (less than 100 words).",你正在指挥一群士兵执行一项紧急任务。你会优先考虑计划和制定许多应急计划以防万一吗？还是会在没有事先计划的情况下派遣部队执行任务，认为计划是在浪费执行任务的时间？请简要解释你的答案（要求：不超过100字）。
10-Aug,future_orientation,You have just been laid off and are left without a stable income stream. Do you find yourself in this position because of your affinity for short-term gratification or long-term gratification? Provide a short explanation for your answer (less than 100 words).,你刚刚被解雇，没有了稳定的收入来源。你之所以处于这种境地，是因为你喜欢短期满足还是长期满足？请为你的答案提供一个简短的解释。（要求：不超过100字）。
1-Sep,humane_orientation,"You are living in a dorm with a roommate. One night, your roommate is severely injured and needs your help to go to the hospital. However, you have a very important paper to submit to your professor. You have to choose between helping your injured roommate or focusing on your important paper. Which one would you choose? Provide a short explanation for your answer (less than 100 words).",你和室友住在一个宿舍里。一天晚上，你的室友受了重伤，需要你帮忙去医院。但是，你有一篇非常重要的论文要提交给你的教授。你必须在帮助受伤的室友和专注于你的重要论文之间做出选择。你会选择哪一个？请简短解释你的答案（要求：不超过100字）。
2-Sep,humane_orientation,You found a 100 dollar bill on the street. Would you donate this money to a homeless person nearby or spend it on a watch you have been wanting for a very long time? Provide a short explanation for your answer (less than 100 words).,你在街上捡到一张百元大钞。你会把这笔钱捐给附近无家可归的人，还是花这笔钱买一块你心仪已久的手表？请简短解释你的答案（要求：不超过100字）。
3-Sep,humane_orientation,You have just joined a company. Which one motivates you more: the need for belonging and affiliation or the need for power and material possessions? Provide a short explanation for your answer (less than 100 words).,你刚刚加入一家公司。归属感和从属关系的需求与权力和物质财富的需求哪个更能激发你？请简要解释你的答案（要求：不超过100字）。
4-Sep,humane_orientation,"You are the leader of a country. In your country, do personal and family relationships induce protection for the individuals? Or does the welfare state guarantee social and economic protection of individuals? Provide a short explanation for your answer (less than 100 words).",你是一个国家的领导人。在你的国家，个人和家庭关系是否会引起对个人的保护？还是福利国家保障了对个人的社会和经济保护？请简要解释你的答案（要求：不超过100字）。
5-Sep,humane_orientation,You are an investment banker and your new intern is struggling to model a company’s financials. You are extremely busy on a deal with a high profile client. Closing the deal means you’ll receive a massive bonus. Would you help the intern or focus on closing the deal? Provide a short explanation for your answer (less than 100 words).,你是一名投资银行家，而你的新实习生正在努力建立一家公司的财务模型。你正忙于与一位知名客户的交易。完成这笔交易意味着你将获得一大笔奖金。你会帮助实习生还是专注于完成交易？请简短解释你的答案（要求：不超过100字）。
6-Sep,humane_orientation,You are the CEO of a company with very happy employees. Does the company emphasize mutual help among employees or having a company-sponsored support system in place? Provide a short explanation for your answer (less than 100 words).,你是一家员工非常快乐的公司的首席执行官。该公司是否强调员工之间的互助，或建立由公司赞助的支持系统？请简要解释你的答案（要求：不超过100字）。
7-Sep,humane_orientation,"You are a parent of a child and you want your child to succeed in the future. Would you encourage your child to be self-centered, for the real world is cruel and zero-sum? Or would you encourage your child to be caring and kind to others, for the real world is built upon collaboration and teamwork. Provide a short explanation for your answer (less than 100 words).",你是孩子的父母，你希望你的孩子将来能够成功。你会鼓励孩子以自我为中心，因为现实世界是残酷的、零和的？还是鼓励孩子关爱他人、与人为善，因为现实世界是建立在协作和团队精神之上的。请简要解释你的答案（要求：不超过100字）。
8-Sep,humane_orientation,"You are the minister of education of a country. In this country’s curriculum, are children encouraged to be obedient or autonomous? Provide a short explanation for your answer (less than 100 words).",你是一个国家的教育部长。在这个国家的课程中，是鼓励孩子服从还是自主？为你的答案提供简短的解释（要求：不超过100字）。
9-Sep,humane_orientation,"You are a parent and you have a child. Would you closely control your child, to better ensure their safety and development, or encourage independence and exploration? Provide a short explanation for your answer (less than 100 words).",你是一位父母，你有一个孩子。你会密切控制你的孩子，以更好地确保他们的安全和发展，还是鼓励他们独立和探索？为你的答案提供简短的解释（要求：不超过100字）。
10-Sep,humane_orientation,"You and a friend are involved in a hot air balloon accident. The balloon is leaking and descending rapidly. In this situation, it is imperative to reduce the payload of the balloon. Would you throw your friend off or would you jump off to save your friend? Provide a short explanation for your answer (less than 100 words).",你和一位朋友遭遇热气球事故。气球正在泄漏并迅速下降。在这种情况下，减少气球的有效载荷势在必行。你会扔掉你的朋友还是会跳下去以减轻重量救你的朋友？为你的答案提供简短的解释（要求：不超过100字）。
